,Symbol,Timestamp,TIME,iPaired,Ask_P,Bid_P,Ask_S,Bid_S,iShares,PreviShares
0,A,2020-05-27,0 days 15:57:52.973783,183598,86.16,86.15,200,293,-566,1734
1,A,2020-05-27,0 days 15:57:53.976602,178764,86.16,86.14,661,736,4834,-566
2,A,2020-05-27,0 days 15:58:57.130748,180172,86.17,86.15,419,606,2312,-2288
3,A,2020-05-27,0 days 15:59:19.184057,189146,86.17,86.14,700,802,-2457,2358
4,A,2020-05-27,0 days 15:59:20.185969,187703,86.17,86.14,813,802,1443,-2457
5,A,2020-05-27,0 days 15:59:45.246686,188182,86.17,86.13,1560,562,1064,-1236
6,AA,2020-05-27,0 days 15:58:38.105636,302611,9.76,9.75,34379,31256,5021,-13169
7,AA,2020-05-27,0 days 15:58:39.108065,290232,9.76,9.75,15957,43441,-12379,5021
8,AA,2020-05-27,0 days 15:59:06.175079,304811,9.77,9.76,22786,40012,12344,-14279
9,AA,2020-05-27,0 days 15:59:07.177638,299755,9.77,9.76,17133,44434,-5056,12344
10,AA,2020-05-27,0 days 15:59:25.220253,310379,9.77,9.76,25928,19272,437,-2524
11,AA,2020-05-27,0 days 15:59:40.257443,310379,9.78,9.77,9972,37728,787,-2663
12,ABB,2020-05-27,0 days 15:55:41.652986,20181,19.56,19.55,22976,11812,489,-122
13,ABB,2020-05-27,0 days 15:56:02.704422,20059,19.56,19.55,26138,13839,-392,219
14,ABB,2020-05-27,0 days 15:57:52.967978,20451,19.56,19.55,25995,21741,8,-92
15,ABB,2020-05-27,0 days 15:58:04.998146,20559,19.56,19.55,26664,24728,-421,108
16,ABB,2020-05-27,0 days 15:59:06.147081,20551,19.57,19.56,29812,1392,245,-55
17,ABBV,2020-05-27,0 days 15:59:15.181128,1591776,89.9,89.89,300,1309,153377,-60172
18,ABBV,2020-05-27,0 days 15:59:43.234765,1601634,89.99,89.98,200,2022,-1997,10478
19,ABBV,2020-05-27,0 days 15:59:44.237133,1598531,89.98,89.97,1200,515,8304,-1997
20,ABEV,2020-05-27,0 days 15:59:45.227823,159069,2.59,2.58,364602,983600,-2530,2370
21,ABEV,2020-05-27,0 days 15:59:46.232803,156899,2.59,2.58,364802,966700,2170,-2530
22,ABR,2020-05-27,0 days 15:57:24.917857,56789,8.56,8.55,3028,2838,-1662,736
23,ABT,2020-05-27,0 days 15:59:48.234945,579145,90.65,90.64,1584,100,-1191,3870
24,ABT,2020-05-27,0 days 15:59:50.242306,521713,90.65,90.64,100,500,57032,-477
25,ACB,2020-05-27,0 days 15:55:41.645673,12555,15.26,15.23,100,2600,94,-911
26,ACB,2020-05-27,0 days 15:55:42.652516,11749,15.26,15.23,100,2600,-806,94
27,ACB,2020-05-27,0 days 15:58:38.072202,11252,15.32,15.3,1001,400,3097,-1106
28,ACB,2020-05-27,0 days 15:58:39.074481,10549,15.32,15.3,1001,400,-703,3097
29,ACN,2020-05-27,0 days 15:57:32.920864,206286,199.7,199.66,661,400,-3102,898
30,ACN,2020-05-27,0 days 15:57:33.922108,203979,199.68,199.66,134,301,2307,-3102
31,ACN,2020-05-27,0 days 15:57:39.936461,206286,199.7,199.66,222,200,-293,1707
32,ACN,2020-05-27,0 days 15:57:40.938395,201079,199.69,199.64,400,100,5207,-293
33,ACN,2020-05-27,0 days 15:57:52.967227,206286,199.64,199.6,900,240,-367,2033
34,ACN,2020-05-27,0 days 15:57:53.969839,204853,199.63,199.6,500,345,1433,-367
35,ACN,2020-05-27,0 days 15:57:56.976879,206286,199.64,199.6,400,665,-1167,1433
36,ACN,2020-05-27,0 days 15:57:57.978929,204953,199.64,199.6,500,665,1333,-1167
37,ACN,2020-05-27,0 days 15:57:58.981333,206286,199.63,199.6,300,460,-467,1333
38,ACN,2020-05-27,0 days 15:57:59.984429,204953,199.63,199.6,700,667,1333,-467
39,ACN,2020-05-27,0 days 15:58:00.990073,206286,199.63,199.6,460,520,-3367,1333
40,ACN,2020-05-27,0 days 15:58:02.992741,203853,199.55,199.51,400,100,2433,-967
41,ACN,2020-05-27,0 days 15:58:08.004395,207297,199.57,199.52,300,100,-956,1044
42,ACN,2020-05-27,0 days 15:58:10.009695,206253,199.56,199.53,101,300,1044,-756
43,ACN,2020-05-27,0 days 15:58:30.058314,207297,199.75,199.64,100,300,-1674,226
44,ACN,2020-05-27,0 days 15:58:37.075120,206471,199.76,199.66,204,400,826,-974
45,ACN,2020-05-27,0 days 15:58:50.106626,207297,199.75,199.7,100,123,-445,155
46,ACN,2020-05-27,0 days 15:58:51.109230,206928,199.75,199.68,107,400,369,-445
